Marca,Modelo,Cilindrada,Versión,Potencia,Año lanzamiento,Año matriculación,Edad actual,Código postal,Tipo carnet,Edad carnet,Tipo seguro,Precio mínimo
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,296€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,519€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),22,Terceros sin asistencia en viaje,200€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),22,Terceros con asistencia en viaje,217€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),22,Terceros ampliado,380€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),22,Todo riesgo con franquicia,726€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,142€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,159€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,271€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,455€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Terceros sin asistencia en viaje,180€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Terceros con asistencia en viaje,198€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Terceros ampliado,342€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Todo riesgo con franquicia,617€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,126€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,143€
