Marca,Modelo,Cilindrada,Versión,Potencia,Año lanzamiento,Año matriculación,Edad actual,Código postal,Tipo carnet,Edad carnet,Tipo seguro,Precio mínimo
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,159€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,176€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,316€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,560€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Terceros sin asistencia en viaje,203€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Terceros con asistencia en viaje,220€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Terceros ampliado,401€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Todo riesgo con franquicia,760€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,140€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,157€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,279€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,510€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),26,Terceros sin asistencia en viaje,225€
