Marca,Modelo,Cilindrada,Versión,Potencia,Año lanzamiento,Año matriculación,Edad actual,Código postal,Tipo carnet,Edad carnet,Tipo seguro,Precio mínimo
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,395€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,411€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,1.176€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,332€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,348€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,1.176€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,19,08001,Licencia de ciclomotor,19,Terceros sin asistencia en viaje,400€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,19,08001,Licencia de ciclomotor,19,Terceros con asistencia en viaje,416€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,314€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,331€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,987€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,265€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,281€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,987€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,19,28001,Licencia de ciclomotor,19,Terceros sin asistencia en viaje,318€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,19,28001,Licencia de ciclomotor,19,Terceros con asistencia en viaje,335€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,22,08001,A1 (para conducir motos de hasta 125cc),22,Terceros sin asistencia en viaje,298€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,22,08001,A1 (para conducir motos de hasta 125cc),22,Terceros con asistencia en viaje,314€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,22,08001,A1 (para conducir motos de hasta 125cc),22,Terceros ampliado,1.176€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,22,08001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,209€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,22,08001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,225€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,22,08001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,745€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Terceros sin asistencia en viaje,267€
PIAGGIO,VESPA 50,50 cc,VESPA 50 SPRINT RACING SIXTIES,3 CV,2020,2020,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Terceros con asistencia en viaje,284€
